system:index,BT_B10,MNDWI,NDBI,NDVI,date,.geo
2_LC09_118038_20240803_351,329.30055500000003,-0.3125555677347851,0.02457574749251323,0.2116846077082509,2024-08-03,"{""type"":""Point"",""coordinates"":[121.24842309405041,31.838621381495958]}"
2_LC09_118038_20240803_352,302.30161502,0.9666295884315906,-1.3399433427762033,-1.6569110863686993,2024-08-03,"{""type"":""Point"",""coordinates"":[122.0666952326401,31.699808006779318]}"
2_LC09_118038_20240803_353,319.730099,-0.4581334856936655,-0.05503885410830431,0.4951944321696861,2024-08-03,"{""type"":""Point"",""coordinates"":[121.74146555426613,30.960075961193464]}"
2_LC09_118038_20240803_354,306.08194514,0.880425120772947,-0.752132986180653,-0.40162241282609,2024-08-03,"{""type"":""Point"",""coordinates"":[121.57884448391013,31.73963447983591]}"
2_LC09_118038_20240803_356,311.69433398,-0.42399156340627475,-0.33468010150033245,0.7475659256471601,2024-08-03,"{""type"":""Point"",""coordinates"":[121.16953267579609,31.81473920071397]}"
2_LC09_118038_20240803_357,324.2589755,-0.3574711716797033,-0.09065794144429168,0.4112231652521219,2024-08-03,"{""type"":""Point"",""coordinates"":[121.55686777128774,30.982801202185936]}"
2_LC09_118038_20240803_358,329.8816184,-0.344874950450326,0.028459439834756198,0.2809659249344711,2024-08-03,"{""type"":""Point"",""coordinates"":[121.2953810345416,31.008596963783564]}"
2_LC09_118038_20240803_361,304.66004882,0.6142197844325505,-0.2423917764586651,-0.47115159433508796,2024-08-03,"{""type"":""Point"",""coordinates"":[122.15663612450356,31.476056662751176]}"
2_LC09_118038_20240803_362,303.30309488,0.8918472135253601,-0.657926008080488,-0.5721295387634937,2024-08-03,"{""type"":""Point"",""coordinates"":[121.91423732985866,31.69042228114286]}"
2_LC09_118038_20240803_364,322.69694036,-0.2503586626139819,-0.0028796090712532767,0.2016543135295894,2024-08-03,"{""type"":""Point"",""coordinates"":[121.54948038848435,31.34986487876769]}"
2_LC09_118038_20240803_365,327.51634856,-0.30829736090310716,-0.23567384751121248,0.5044534557921779,2024-08-03,"{""type"":""Point"",""coordinates"":[121.50130518523211,31.276946085241836]}"
2_LC09_118038_20240803_366,305.21035004,0.677500948526622,-0.2636442390990471,-0.48390140346739,2024-08-03,"{""type"":""Point"",""coordinates"":[121.72629264597377,31.460034971716638]}"
2_LC09_118038_20240803_367,317.27937866,-0.46769136652137333,-0.2811004672678409,0.6663520154930177,2024-08-03,"{""type"":""Point"",""coordinates"":[121.11423138973805,31.231678061849713]}"
2_LC09_118038_20240803_368,316.9444127,-0.45984291867240934,-0.2366223431269072,0.695233136782458,2024-08-03,"{""type"":""Point"",""coordinates"":[121.34306852462446,30.947051905327456]}"
2_LC09_118038_20240803_370,321.72622268,-0.2691229819644792,-0.2864572257129046,0.607236452785527,2024-08-03,"{""type"":""Point"",""coordinates"":[121.14423776385932,31.14007237260623]}"
2_LC09_118038_20240803_371,322.58756372,-0.44606875306308186,-0.04037503716919416,0.5171586728367877,2024-08-03,"{""type"":""Point"",""coordinates"":[121.2248395819319,31.126491189724366]}"
2_LC09_118038_20240803_372,320.52991568,-0.09602873434931716,0.01241260379763435,0.039769811886737415,2024-08-03,"{""type"":""Point"",""coordinates"":[121.86469895395517,30.87311587656534]}"
2_LC09_118038_20240803_374,322.63541599999996,-0.37307401442071775,-0.06885846607969867,0.4072562147897306,2024-08-03,"{""type"":""Point"",""coordinates"":[120.99253861207931,31.712633386005102]}"
2_LC09_118038_20240803_375,324.48114680000003,-0.21862755016017524,-0.058302367637938564,0.2619535901164598,2024-08-03,"{""type"":""Point"",""coordinates"":[121.60002891600206,31.3362287580289]}"
2_LC09_118038_20240803_376,317.56307432,-0.3568899843154828,-0.30592152390558114,0.6098591350297413,2024-08-03,"{""type"":""Point"",""coordinates"":[121.83600884461696,30.94043572073705]}"
2_LC09_118038_20240803_377,326.64817148,-0.28275489700233736,0.14008631817450123,0.11337708863397727,2024-08-03,"{""type"":""Point"",""coordinates"":[120.98698398050576,31.441549056200703]}"
2_LC09_118038_20240803_378,305.14198964,0.5980743435679768,-0.1950986164262587,-0.4034713931490495,2024-08-03,"{""type"":""Point"",""coordinates"":[121.76760520483997,31.688524142791962]}"
2_LC09_118038_20240803_379,312.7915184,-0.45734992609545616,-0.40326335775401334,0.8075634214579861,2024-08-03,"{""type"":""Point"",""coordinates"":[121.2727459111678,31.47431829349842]}"
2_LC09_118038_20240803_380,314.73295376,-0.39945812752957455,-0.29575599793522905,0.7243207323173874,2024-08-03,"{""type"":""Point"",""coordinates"":[121.37738339716817,30.965814548839024]}"
2_LC09_118038_20240803_381,306.1605596,0.7018469191553918,-0.28683544303797487,-0.5013896609227348,2024-08-03,"{""type"":""Point"",""coordinates"":[121.73015887637922,31.34963566146049]}"
2_LC09_118038_20240803_382,318.66025874,-0.21520296475049575,-0.0917581886695224,0.3277842517063428,2024-08-03,"{""type"":""Point"",""coordinates"":[120.97109366225273,31.87181540764568]}"
2_LC09_118038_20240803_383,305.04286706,0.3346954937831628,0.0736669904401617,-0.2724936764764925,2024-08-03,"{""type"":""Point"",""coordinates"":[122.19082270587327,30.796714906865358]}"
2_LC09_118038_20240803_384,314.0732759,-0.4406504403589497,-0.35376827633870833,0.7961808696514208,2024-08-03,"{""type"":""Point"",""coordinates"":[121.00571394304451,31.079081809214003]}"
2_LC09_118038_20240803_385,321.951812,-0.4312126763912003,0.0044265593561368345,0.36859361402135854,2024-08-03,"{""type"":""Point"",""coordinates"":[121.58845065153491,31.635103571810298]}"
2_LC09_118038_20240803_387,301.93588688,0.7605500403409688,1.691640378548902,-1.1217632766400565,2024-08-03,"{""type"":""Point"",""coordinates"":[121.94547614765042,31.805824285975746]}"
2_LC09_118038_20240803_389,305.19667796,0.796551724137931,-0.5422849668485858,-0.46785564218684356,2024-08-03,"{""type"":""Point"",""coordinates"":[120.97713762451528,31.7873570860616]}"
2_LC09_118038_20240803_391,315.01664942,-0.5016543859793884,-0.17522829756860253,0.6562665661784899,2024-08-03,"{""type"":""Point"",""coordinates"":[121.31057916595408,31.746538860398918]}"
2_LC09_118038_20240803_392,311.69433398,-0.2980782884460644,-0.2356179274207036,0.5317094238576489,2024-08-03,"{""type"":""Point"",""coordinates"":[121.99820704231304,31.208118124017595]}"
2_LC09_118038_20240803_393,314.33646344,-0.4219523796200441,-0.3241575573818454,0.7558248889097876,2024-08-03,"{""type"":""Point"",""coordinates"":[121.47270403125876,31.651166785437276]}"
2_LC09_118038_20240803_394,316.92390458,-0.3694422531428859,-0.14496057009615135,0.5001682033819178,2024-08-03,"{""type"":""Point"",""coordinates"":[121.12589150729416,31.62723716884989]}"
2_LC09_118038_20240803_395,325.98849362,-0.18516497355385772,-0.010982081866428456,0.16689747192430923,2024-08-03,"{""type"":""Point"",""coordinates"":[121.57395586229546,31.28596058770659]}"
2_LC09_118038_20240803_396,305.1522437,0.46557429547395396,0.403068731170742,-0.48587979724837105,2024-08-03,"{""type"":""Point"",""coordinates"":[122.1241904147439,31.000233661403787]}"
2_LC09_118038_20240803_398,315.66949123999996,-0.44736130718168987,-0.12881866132728284,0.5503755664535354,2024-08-03,"{""type"":""Point"",""coordinates"":[121.88685650886069,31.459238383724976]}"
2_LC09_118038_20240803_400,305.62393046,0.6724406562184949,-0.29872066556785165,-0.43454191299593353,2024-08-03,"{""type"":""Point"",""coordinates"":[121.753071985264,31.682402325533495]}"
2_LC09_118038_20240803_401,316.40436553999996,-0.4930712669683258,-0.3537202096323783,0.7945758448618606,2024-08-03,"{""type"":""Point"",""coordinates"":[121.66981154984559,31.868660444114116]}"
2_LC09_118038_20240803_402,303.88415828,0.4984541707080504,-0.32309265698506867,-0.28203249866808733,2024-08-03,"{""type"":""Point"",""coordinates"":[122.15296980968054,31.237339066106813]}"
2_LC09_118038_20240803_403,314.78080604,-0.3793645875539243,-0.38859895624247287,0.7705845507263948,2024-08-03,"{""type"":""Point"",""coordinates"":[121.19878117780566,31.76310089644123]}"
2_LC09_118038_20240803_405,305.02577696000003,0.6563270083785117,-0.251609873893212,-0.4773096532018599,2024-08-03,"{""type"":""Point"",""coordinates"":[121.863572526125,31.418088411467163]}"
2_LC09_118038_20240803_406,318.22275218,-0.37669091085580375,-0.10403768748984717,0.45228555656463126,2024-08-03,"{""type"":""Point"",""coordinates"":[121.6158776917217,31.757213808812562]}"
2_LC09_118038_20240803_408,315.11235397999997,-0.4351787893984842,-0.2438643807548694,0.6978530842774999,2024-08-03,"{""type"":""Point"",""coordinates"":[121.11490075355879,31.685363110287685]}"
2_LC09_118038_20240803_409,318.02450702,-0.3419172699266552,-0.2354974026820839,0.5738739798849581,2024-08-03,"{""type"":""Point"",""coordinates"":[121.01453584949728,31.552230102292334]}"
2_LC09_118038_20240803_410,314.3979878,0.09391847951498876,-0.46045744694140145,0.46488579268521873,2024-08-03,"{""type"":""Point"",""coordinates"":[121.91801174293067,31.551736945026263]}"
2_LC09_118038_20240803_413,313.87844875999997,-0.42525431430187594,-0.44231494920174164,0.8464761515449933,2024-08-03,"{""type"":""Point"",""coordinates"":[121.31270008437373,31.73676783369165]}"
2_LC09_118038_20240803_414,313.88870282,-0.40708141628325656,-0.3169800153514653,0.7338511831203697,2024-08-03,"{""type"":""Point"",""coordinates"":[121.86688727881855,31.103254109134394]}"
2_LC09_118038_20240803_415,321.82192724000004,-0.28838003183552924,-0.1025675278527346,0.36490821895154635,2024-08-03,"{""type"":""Point"",""coordinates"":[121.56277380893471,31.087793641017583]}"
